851136_reviewed	854020_reviewed	1
851136_reviewed_mutant_1	854020_reviewed	0
851136_reviewed	854290_reviewed	1
851136_reviewed	852582_reviewed	1
851136_reviewed_mutant_3	852582_reviewed	0
851136_reviewed	854933_reviewed	1
851136_reviewed	854933_reviewed_mutant_4	0
851136_reviewed	852607_reviewed	1
851136_reviewed	852607_reviewed_mutant_5	0
851136_reviewed	852665_reviewed	1
851136_reviewed_mutant_6	852665_reviewed	0
854020_reviewed	854290_reviewed	1
854020_reviewed	854290_reviewed_mutant_13	0
854020_reviewed	852582_reviewed	1
854020_reviewed	852582_reviewed_mutant_14	0
854020_reviewed	854933_reviewed	1
854020_reviewed	852607_reviewed	1
854020_reviewed	852665_reviewed	1
854020_reviewed	852665_reviewed_mutant_17	0
851318_reviewed	851968_reviewed	1
851318_reviewed	851968_reviewed_mutant_18	0
851318_reviewed	853509_reviewed	1
851318_reviewed	855888_reviewed	1
851318_reviewed	855888_reviewed_mutant_24	0
851318_reviewed	852757_reviewed_mutant_26	0
851318_reviewed	851201_reviewed	1
851318_reviewed	851201_reviewed_mutant_27	0
851318_reviewed	856216_reviewed	1
851318_reviewed	856216_reviewed_mutant_30	0
851318_reviewed	853681_reviewed	1
851318_reviewed	853681_reviewed_mutant_31	0
851318_reviewed	852025_reviewed	1
851318_reviewed	852025_reviewed_mutant_32	0
851318_reviewed	853030_reviewed	1
851318_reviewed	853030_reviewed_mutant_33	0
851318_reviewed	853767_reviewed	1
851318_reviewed	853767_reviewed_mutant_34	0
855476_reviewed	850623_reviewed_mutant_36	0
855476_reviewed	853681_reviewed	1
855476_reviewed	853681_reviewed_mutant_37	0
854827_reviewed	852512_reviewed	1
854827_reviewed	852512_reviewed_mutant_38	0
854827_reviewed	851841_reviewed_mutant_39	0
854827_reviewed	856089_reviewed	1
854827_reviewed_mutant_40	856089_reviewed	0
854827_reviewed	851097_reviewed_mutant_41	0
854827_reviewed	853599_reviewed	1
854827_reviewed_mutant_42	853599_reviewed	0
854827_reviewed	851197_reviewed_mutant_43	0
854827_reviewed	851991_reviewed	1
854827_reviewed	851991_reviewed_mutant_44	0
854827_reviewed	853090_reviewed_mutant_46	0
